#No.,Time,Source,Destination,Protocol,Length,Info
54,7.494591,192.168.1.250,81.150.22.186,HTTP,259,GET /cdhlsz2skysportsmainevent/1301/05.m3u8 HTTP/1.1 
55,7.514579,81.150.22.186,192.168.1.250,HTTP,900,HTTP/1.1 200 OK  (application/x-mpegurl)
56,7.51914,192.168.1.250,81.150.22.186,HTTP,258,GET /cdhlsz2skysportsmainevent/1301/20200909T054913-05-1067618.ts HTTP/1.1 
57,7.519209,192.168.1.250,81.150.22.186,HTTP,259,GET /cdhlsz2skysportsmainevent/1301/08.m3u8 HTTP/1.1 
58,7.537878,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=1693 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
59,7.539949,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=3145 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
60,7.539989,192.168.1.250,81.150.22.186,TCP,54,4514  >  80 [ACK] Seq=615 Ack=4597 Win=2064 Len=0
61,7.540848,81.150.22.186,192.168.1.250,HTTP,898,HTTP/1.1 200 OK  (application/x-mpegurl)
62,7.542494,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=4597 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
63,7.544492,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=6049 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
64,7.544592,192.168.1.250,81.150.22.186,TCP,54,4514  >  80 [ACK] Seq=615 Ack=7501 Win=2064 Len=0
65,7.545824,192.168.1.250,81.150.22.186,HTTP,258,GET /cdhlsz2skysportsmainevent/1301/20200909T054913-08-1067618.ts HTTP/1.1 
66,7.546785,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=7501 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
67,7.548155,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=8953 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
68,7.548187,192.168.1.250,81.150.22.186,TCP,54,4514  >  80 [ACK] Seq=615 Ack=10405 Win=2064 Len=0
69,7.556479,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=10405 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
70,7.557376,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=11857 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
71,7.557376,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=13309 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
72,7.557376,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=14761 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
73,7.557376,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=16213 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
74,7.557428,192.168.1.250,81.150.22.186,TCP,54,4514  >  80 [ACK] Seq=615 Ack=17665 Win=2064 Len=0
75,7.55781,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=17665 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
76,7.557835,192.168.1.250,81.150.22.186,TCP,54,4514  >  80 [ACK] Seq=615 Ack=19117 Win=2064 Len=0
77,7.560233,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=19117 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
78,7.56224,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=20569 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
79,7.562261,192.168.1.250,81.150.22.186,TCP,54,4514  >  80 [ACK] Seq=615 Ack=22021 Win=2064 Len=0
80,7.564726,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=22021 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
81,7.566938,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=23473 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
82,7.566938,81.150.22.186,192.168.1.250,TCP,1506,80  >  4518 [ACK] Seq=845 Ack=410 Win=488 Len=1452 [TCP segment of a reassembled PDU]
83,7.566974,192.168.1.250,81.150.22.186,TCP,54,4514  >  80 [ACK] Seq=615 Ack=24925 Win=2064 Len=0
84,7.571243,81.150.22.186,192.168.1.250,TCP,1506,80  >  4518 [ACK] Seq=2297 Ack=410 Win=488 Len=1452 [TCP segment of a reassembled PDU]
85,7.571243,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=24925 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
86,7.571313,192.168.1.250,81.150.22.186,TCP,54,4518  >  80 [ACK] Seq=410 Ack=3749 Win=1032 Len=0
87,7.574789,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=26377 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
88,7.574789,81.150.22.186,192.168.1.250,TCP,1506,80  >  4518 [ACK] Seq=3749 Ack=410 Win=488 Len=1452 [TCP segment of a reassembled PDU]
89,7.574823,192.168.1.250,81.150.22.186,TCP,54,4514  >  80 [ACK] Seq=615 Ack=27829 Win=2064 Len=0
90,7.575767,81.150.22.186,192.168.1.250,TCP,1506,80  >  4518 [ACK] Seq=5201 Ack=410 Win=488 Len=1452 [TCP segment of a reassembled PDU]
91,7.575793,192.168.1.250,81.150.22.186,TCP,54,4518  >  80 [ACK] Seq=410 Ack=6653 Win=1032 Len=0
92,7.579248,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=27829 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
93,7.580774,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=29281 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
94,7.580806,192.168.1.250,81.150.22.186,TCP,54,4514  >  80 [ACK] Seq=615 Ack=30733 Win=2064 Len=0
95,7.582978,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=30733 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
96,7.585008,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=32185 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
97,7.585041,192.168.1.250,81.150.22.186,TCP,54,4514  >  80 [ACK] Seq=615 Ack=33637 Win=2064 Len=0
98,7.587944,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=33637 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
99,7.588264,81.150.22.186,192.168.1.250,TCP,1506,80  >  4514 [ACK] Seq=35089 Ack=615 Win=756 Len=1452 [TCP segment of a reassembled PDU]
